# Gogh terminal colour schemes (https://github.com/Gogh-Co/Gogh, data/themes.json),
# trimmed to what a choz theme needs: name|text RRGGBB|desktop RRGGBB.
# The frame colour is derived from the two; see settings.rs.
3024 Day|4A4543|F7F7F7
Horizon Bright|1C1E26|FDF0ED
Horizon Dark|FDF0ED|1C1E26
Hurtado|DBDBDB|000000
Hybrid|94A3A5|141414
Ibm 3270 (High Contrast)|FDFDFD|000000
Ibm3270|FDFDFD|000000
Ic Green Ppl|D9EFD3|3A3D3F
Ic Orange Ppl|FFCB83|262626
Iceberg|C6C8D1|161821
Idle Toes|FFFFFF|323232
Ir Black|EEEEEE|000000
Jackie Brown|FFCC2F|2C1D16
Japanesque|F7F6EC|1E1E1E
Jellybeans|DEDEDE|121212
Jup|23476A|758480
Kanagawa Dragon|C5C9C5|181616
Kanagawa Lotus|545464|F2ECBC
Kanagawa Wave|DCD7BA|1F1F28
Kibble|F7F7F7|0E100A
Kokuban|D8E2D7|0D4A08
Laserwave|E0E0E0|1F1926
Later This Evening|959595|222222
Lavandula|736E7D|050014
Liquid Carbon|AFC2C2|303030
Liquid Carbon Transparent|AFC2C2|000000
Lunaria Dark|CACED8|36464E
Lunaria Eclipse|C9CDD7|323F46
Lunaria Light|484646|EBE4E1
Maia|BDC3C7|31363B
Man Page|000000|FEF49C
Mar|23476A|FFFFFF
Material|C3C7D1|1E282C
Mathias|BBBBBB|000000
Medallion|CAC296|1D1908
Miasma|C2C2B0|222222
Minimalist Dark|F5F5F5|13141F
Miramare|E6D6AC|2A2426
Misterioso|E1E1E0|2D3743
Modus Operandi|000000|FFFFFF
Modus Operandi Tinted|000000|FBF7F0
Modus Vivendi|FFFFFF|000000
Modus Vivendi Tinted|FFFFFF|0D0E1C
Molokai|BBBBBB|1B1D1E
Mona Lisa|F7D66A|120B0D
Mono Amber|FF9400|2B1900
Mono Cyan|00CCFF|00222B
Mono Green|0BFF00|022B00
Mono Red|FF3600|2B0C00
Mono White|FAFAFA|262626
Mono Yellow|FFD300|2B2400
Monokai Dark|F8F8F2|272822
Monokai Pro|FCFCFA|2D2A2E
Monokai Pro Light|29242A|FEFAF9
Monokai Pro Light Sun|2C232E|FDF7F3
Monokai Pro Machine|F2FFFC|273136
Monokai Pro Ocatagon|EAF2F1|3A3D4B
Monokai Pro Ristretto|FBF2F3|3E3838
Monokai Pro Spectrum|F7F1FF|363537
Monokai Soda|C4C5B5|1A1A1A
Moonfly|BDBDBD|080808
Morada|FFFFFF|211F46
N0Tch2K|A0A0A0|222222
Nanosecond|FAFAFA|112233
Neon Night|C7C8FF|20242D
Neopolitan|FFFFFF|271F19
Nep|23476A|758480
Neutron|E6E8EF|1C1E22
Night Owl|D6DEEB|011627
Nightfly|BDC1C6|011627
Nightlion V1|BBBBBB|000000
Nightlion V2|BBBBBB|171717
Nighty|DFDFDF|2F2F2F
Nord|D8DEE9|2E3440
Nord Light|004F7C|EBEAF2
Novel|3B2322|DFDBC3
Ocean Dark|979CAC|1C1F27
Oceanic Next|B3B8C3|121B21
Ollie|8A8DAE|222125
Omni|ABB2BF|191622
One Dark|5C6370|1E2127
One Half Black|DCDFE4|000000
One Light|2A2B32|F8F8F8
Oxocarbon Dark|FFFFFF|161616
Palenight|BFC7D5|292D3E
Pali|D9E6F2|232E37
Panda|F0F0F0|1D1E20
Paper|000000|F2EEDE
Papercolor Dark|D0D0D0|1C1C1C
Papercolor Light|444444|EEEEEE
Paraiso Dark|A39E9B|2F1E2E
Paul Millr|F2F2F2|000000
